date,q.arkrocco,h.arkrocco,p.arkrocco
11/21/2000,174,1.84,NA
11/22/2000,165,1.81,NA
11/23/2000,165,1.81,NA
11/24/2000,165,1.81,NA
11/25/2000,165,1.81,NA
11/26/2000,165,1.81,NA
11/27/2000,156,1.78,NA
11/28/2000,118,1.65,NA
11/29/2000,110,1.62,NA
11/30/2000,106,1.6,NA
12/1/2000,102,1.58,NA
12/2/2000,102,1.58,NA
12/3/2000,102,1.58,NA
12/4/2000,102,1.58,NA
12/5/2000,102,1.58,NA
12/6/2000,76.1,1.58,NA
12/7/2000,60.6,1.58,NA
12/8/2000,60.6,1.58,NA
12/9/2000,60.6,1.58,NA
12/10/2000,60.6,1.58,NA
12/11/2000,66.5,1.61,NA
12/12/2000,95.4,1.74,NA
12/13/2000,212,2.15,NA
12/14/2000,244,2.22,NA
12/15/2000,167,2.02,NA
12/16/2000,92.9,1.75,NA
12/17/2000,76.8,1.67,NA
12/18/2000,65.3,1.61,NA
12/19/2000,98.7,1.75,NA
12/20/2000,131,1.91,NA
12/21/2000,106,1.81,NA
12/22/2000,NA,NA,NA
12/23/2000,NA,NA,NA
12/24/2000,NA,NA,NA
12/25/2000,NA,NA,NA
12/26/2000,NA,NA,NA
12/27/2000,NA,NA,NA
12/28/2000,NA,NA,NA
12/29/2000,78,1.67,NA
12/30/2000,56.7,1.63,NA
12/31/2000,35.2,1.59,NA
1/1/2001,32.6,1.57,NA
1/2/2001,32.6,1.57,NA
1/3/2001,32.6,1.57,NA
1/4/2001,32.6,1.57,NA
1/5/2001,32.6,1.57,NA
1/6/2001,32.6,1.57,NA
1/7/2001,32.6,1.57,NA
1/8/2001,33.2,1.57,NA
1/9/2001,34,1.58,NA
1/10/2001,34,1.58,NA
1/11/2001,34,1.58,NA
1/12/2001,34,1.58,NA
1/13/2001,34,1.58,NA
1/14/2001,34.7,1.59,NA
1/15/2001,44.6,1.65,NA
1/16/2001,41.5,1.63,NA
1/17/2001,49,1.68,NA
1/18/2001,57.7,1.73,NA
1/19/2001,56.3,1.76,NA
1/20/2001,56.3,1.78,NA
1/21/2001,50.7,1.75,NA
1/22/2001,47.2,1.73,NA
1/23/2001,37.2,1.66,NA
1/24/2001,32.6,1.63,NA
1/25/2001,36.1,1.65,NA
1/26/2001,42.5,1.7,NA
1/27/2001,34.2,1.64,NA
1/28/2001,34,1.64,NA
1/29/2001,36.6,1.66,NA
1/30/2001,39.6,1.68,NA
1/31/2001,38.6,1.67,NA
2/1/2001,32.2,1.63,NA
2/2/2001,29.8,1.61,NA
2/3/2001,28.3,1.6,NA
2/4/2001,24.4,1.57,NA
2/5/2001,24.4,1.57,NA
2/6/2001,-615.2,1.57,NA
2/7/2001,-177.9,1.57,NA
2/8/2001,38.2,1.57,NA
2/9/2001,41.9,1.59,NA
2/10/2001,47.4,1.63,NA
2/11/2001,49.6,1.64,NA
2/12/2001,42.6,1.6,NA
2/13/2001,42.6,1.6,NA
2/14/2001,42.6,1.6,NA
2/15/2001,42.6,1.6,NA
2/16/2001,42.6,1.6,NA
2/17/2001,42.6,1.6,NA
2/18/2001,42.5,1.6,NA
2/19/2001,40.7,1.59,NA
2/20/2001,39.6,1.58,NA
2/21/2001,39.6,1.58,NA
2/22/2001,39.6,1.58,NA
2/23/2001,39.6,1.58,NA
2/24/2001,39.6,1.58,NA
