agency,site,date,q.timswico,check
USGS,7121500,5/21/2000,51,A
USGS,7121500,5/22/2000,47,A
USGS,7121500,5/23/2000,47,A
USGS,7121500,5/24/2000,44,A
USGS,7121500,5/25/2000,55,A
USGS,7121500,5/26/2000,60,A
USGS,7121500,5/27/2000,53,A
USGS,7121500,5/28/2000,59,A
USGS,7121500,5/29/2000,51,A
USGS,7121500,5/30/2000,47,A
USGS,7121500,5/31/2000,55,A
USGS,7121500,6/1/2000,76,A
USGS,7121500,6/2/2000,48,A
USGS,7121500,6/3/2000,59,A
USGS,7121500,6/4/2000,71,A
USGS,7121500,6/5/2000,63,A
USGS,7121500,6/6/2000,49,A
USGS,7121500,6/7/2000,46,A
USGS,7121500,6/8/2000,44,A
USGS,7121500,6/9/2000,47,A
USGS,7121500,6/10/2000,48,A
USGS,7121500,6/11/2000,57,A
USGS,7121500,6/12/2000,56,A
USGS,7121500,6/13/2000,50,A
USGS,7121500,6/14/2000,48,A
USGS,7121500,6/15/2000,44,A
USGS,7121500,6/16/2000,48,A
USGS,7121500,6/17/2000,52,A
USGS,7121500,6/18/2000,52,A
USGS,7121500,6/19/2000,48,A
USGS,7121500,6/20/2000,44,A
USGS,7121500,6/21/2000,44,A
USGS,7121500,6/22/2000,48,A
USGS,7121500,6/23/2000,48,A
USGS,7121500,6/24/2000,49,A
USGS,7121500,6/25/2000,44,A
USGS,7121500,6/26/2000,52,A
USGS,7121500,6/27/2000,60,A
USGS,7121500,6/28/2000,53,A
USGS,7121500,6/29/2000,51,A
USGS,7121500,6/30/2000,51,A
USGS,7121500,7/1/2000,47,A
USGS,7121500,7/2/2000,50,A
USGS,7121500,7/3/2000,48,A
USGS,7121500,7/4/2000,43,A
USGS,7121500,7/5/2000,49,A
USGS,7121500,7/6/2000,50,A
USGS,7121500,7/7/2000,51,A
USGS,7121500,7/8/2000,49,A
USGS,7121500,7/9/2000,48,A
USGS,7121500,7/10/2000,46,A
USGS,7121500,7/11/2000,50,A
USGS,7121500,7/12/2000,57,A
USGS,7121500,7/13/2000,55,A
USGS,7121500,7/14/2000,53,A
USGS,7121500,7/15/2000,50,A
USGS,7121500,7/16/2000,55,A
USGS,7121500,7/17/2000,75,A
USGS,7121500,7/18/2000,159,A
USGS,7121500,7/19/2000,129,A
USGS,7121500,7/20/2000,113,A
USGS,7121500,7/21/2000,116,A
USGS,7121500,7/22/2000,106,A
USGS,7121500,7/23/2000,106,A
USGS,7121500,7/24/2000,97,A
USGS,7121500,7/25/2000,80,A:e
USGS,7121500,7/26/2000,60,A
USGS,7121500,7/27/2000,57,A
USGS,7121500,7/28/2000,51,A
USGS,7121500,7/29/2000,52,A
USGS,7121500,7/30/2000,52,A
USGS,7121500,7/31/2000,54,A
USGS,7121500,8/1/2000,53,A
USGS,7121500,8/2/2000,52,A
USGS,7121500,8/3/2000,58,A
USGS,7121500,8/4/2000,61,A
USGS,7121500,8/5/2000,57,A
USGS,7121500,8/6/2000,58,A
USGS,7121500,8/7/2000,56,A
USGS,7121500,8/8/2000,51,A
USGS,7121500,8/9/2000,49,A
USGS,7121500,8/10/2000,51,A
USGS,7121500,8/11/2000,53,A
USGS,7121500,8/12/2000,54,A
USGS,7121500,8/13/2000,53,A
USGS,7121500,8/14/2000,49,A
USGS,7121500,8/15/2000,49,A
USGS,7121500,8/16/2000,49,A
USGS,7121500,8/17/2000,57,A
USGS,7121500,8/18/2000,71,A
USGS,7121500,8/19/2000,61,A
USGS,7121500,8/20/2000,68,A
USGS,7121500,8/21/2000,64,A
USGS,7121500,8/22/2000,60,A
USGS,7121500,8/23/2000,51,A
USGS,7121500,8/24/2000,54,A
USGS,7121500,8/25/2000,63,A
USGS,7121500,8/26/2000,71,A
USGS,7121500,8/27/2000,86,A
USGS,7121500,8/28/2000,100,A
USGS,7121500,8/29/2000,94,A
USGS,7121500,8/30/2000,99,A
USGS,7121500,8/31/2000,92,A
USGS,7121500,9/1/2000,69,A
USGS,7121500,9/2/2000,66,A
USGS,7121500,9/3/2000,68,A
USGS,7121500,9/4/2000,86,A
USGS,7121500,9/5/2000,83,A
USGS,7121500,9/6/2000,49,A
USGS,7121500,9/7/2000,58,A
USGS,7121500,9/8/2000,61,A
USGS,7121500,9/9/2000,59,A
USGS,7121500,9/10/2000,56,A
USGS,7121500,9/11/2000,61,A
USGS,7121500,9/12/2000,66,A
USGS,7121500,9/13/2000,63,A
USGS,7121500,9/14/2000,58,A
USGS,7121500,9/15/2000,52,A
USGS,7121500,9/16/2000,62,A
USGS,7121500,9/17/2000,51,A
USGS,7121500,9/18/2000,45,A
USGS,7121500,9/19/2000,44,A
USGS,7121500,9/20/2000,42,A
USGS,7121500,9/21/2000,41,A
USGS,7121500,9/22/2000,38,A
USGS,7121500,9/23/2000,37,A
USGS,7121500,9/24/2000,41,A
USGS,7121500,9/25/2000,41,A
USGS,7121500,9/26/2000,37,A
USGS,7121500,9/27/2000,39,A
USGS,7121500,9/28/2000,42,A
USGS,7121500,9/29/2000,41,A
USGS,7121500,9/30/2000,38,A
USGS,7121500,10/1/2000,39,A
USGS,7121500,10/2/2000,40,A
USGS,7121500,10/3/2000,37,A
USGS,7121500,10/4/2000,37,A
USGS,7121500,10/5/2000,40,A
USGS,7121500,10/6/2000,41,A
USGS,7121500,10/7/2000,39,A
USGS,7121500,10/8/2000,40,A
USGS,7121500,10/9/2000,40,A
USGS,7121500,10/10/2000,38,A
USGS,7121500,10/11/2000,41,A
USGS,7121500,10/12/2000,42,A
USGS,7121500,10/13/2000,42,A
USGS,7121500,10/14/2000,38,A
USGS,7121500,10/15/2000,34,A
USGS,7121500,10/16/2000,44,A
USGS,7121500,10/17/2000,42,A
USGS,7121500,10/18/2000,40,A
USGS,7121500,10/19/2000,43,A
USGS,7121500,10/20/2000,43,A
USGS,7121500,10/21/2000,38,A
USGS,7121500,10/22/2000,41,A
USGS,7121500,10/23/2000,45,A
USGS,7121500,10/24/2000,45,A
USGS,7121500,10/25/2000,49,A
USGS,7121500,10/26/2000,53,A
USGS,7121500,10/27/2000,54,A
USGS,7121500,10/28/2000,56,A
USGS,7121500,10/29/2000,85,A
USGS,7121500,10/30/2000,97,A
USGS,7121500,10/31/2000,86,A
USGS,7121500,11/1/2000,84,A
USGS,7121500,11/2/2000,87,A
USGS,7121500,11/3/2000,94,A
USGS,7121500,11/4/2000,97,A
USGS,7121500,11/5/2000,100,A
USGS,7121500,11/6/2000,102,A
USGS,7121500,11/7/2000,112,A
USGS,7121500,11/8/2000,111,A
