Date/Time	DISCHRG (cfs)	GAGE_HT (ft)
11/17/1999 0:00	154	1.55
11/18/1999 0:00	123	1.35
11/19/1999 0:00	122	1.34
11/20/1999 0:00	122	1.34
11/21/1999 0:00	123	1.35
11/22/1999 0:00	123	1.35
11/23/1999 0:00	105	1.21
11/24/1999 0:00	72.7	0.97
11/25/1999 0:00	74.9	0.99
11/26/1999 0:00	74.3	0.98
11/27/1999 0:00	71.8	0.96
11/28/1999 0:00	72.2	0.97
11/29/1999 0:00	74	0.98
11/30/1999 0:00	47.2	0.65
12/1/1999 0:00	0.05	0.01
12/2/1999 0:00	0.003	0
12/3/1999 0:00	0	0
12/4/1999 0:00	0	0
12/5/1999 0:00	0	0
12/6/1999 0:00	0	0
12/7/1999 0:00	0	0
12/8/1999 0:00	0	0
12/9/1999 0:00	0	0
12/10/1999 0:00	0	0
12/11/1999 0:00	0	0
12/12/1999 0:00	0	0
12/13/1999 0:00	0	0
12/14/1999 0:00	0	0
12/15/1999 0:00	0	0
12/16/1999 0:00	0	0
12/17/1999 0:00	0	0
12/18/1999 0:00	0	0
12/19/1999 0:00	0	0
12/20/1999 0:00	0	0
12/21/1999 0:00	0	0
12/22/1999 0:00	0	0
12/23/1999 0:00	0	0
12/24/1999 0:00	0	0
12/25/1999 0:00	0	0
12/26/1999 0:00	0	0
12/27/1999 0:00	0	0
12/28/1999 0:00	0	0
12/29/1999 0:00	0	0
12/30/1999 0:00	0	0
12/31/1999 0:00	 	99.91
1/1/2000 0:00	 	99.91
1/2/2000 0:00	 	99.9
1/3/2000 0:00	 	99.9
1/4/2000 0:00	 	99.9
1/5/2000 0:00	 	 
1/6/2000 0:00	 	99.89
1/7/2000 0:00	 	99.89
1/8/2000 0:00	 	99.89
1/9/2000 0:00	-988.6	98.84
1/10/2000 0:00	 	99.88
1/11/2000 0:00	 	99.88
1/12/2000 0:00	 	99.88
1/13/2000 0:00	 	99.87
1/14/2000 0:00	 	99.87
1/15/2000 0:00	 	99.83
1/16/2000 0:00	 	99.87
1/17/2000 0:00	 	99.83
1/18/2000 0:00	 	99.85
1/19/2000 0:00	 	99.86
1/20/2000 0:00	 	98.92
1/21/2000 0:00	-988.6	98.82
1/22/2000 0:00	-956.3	94.78
1/23/2000 0:00	-965.4	96.76
1/24/2000 0:00	 	99.85
1/25/2000 0:00	-988.6	98.81
1/26/2000 0:00	-987.8	98.82
1/27/2000 0:00	 	99.84
1/28/2000 0:00	-988.6	96.93
1/29/2000 0:00	-988.6	95.99
1/30/2000 0:00	-987.8	98.81
1/31/2000 0:00	-988.6	98.8
2/1/2000 0:00	 	99.83
2/2/2000 0:00	 	99.83
2/3/2000 0:00	 	99.83
2/4/2000 0:00	-987.8	98.8
2/5/2000 0:00	 	99.82
2/6/2000 0:00	-987.8	98.79
2/7/2000 0:00	 	99.82
2/8/2000 0:00	 	99.82
2/9/2000 0:00	 	99.81
2/10/2000 0:00	 	99.81
2/11/2000 0:00	 	99.81
2/12/2000 0:00	 	99.81
2/13/2000 0:00	 	99.8
2/14/2000 0:00	 	99.8
2/15/2000 0:00	 	99.8
2/16/2000 0:00	 	99.8
2/17/2000 0:00	 	99.8
2/18/2000 0:00	 	99.79
2/19/2000 0:00	 	99.79
2/20/2000 0:00	 	99.79
2/21/2000 0:00	 	99.78
2/22/2000 0:00	 	99.78
2/23/2000 0:00	 	99.78
2/24/2000 0:00	 	99.78
2/25/2000 0:00	 	99.77
2/26/2000 0:00	 	99.77
2/27/2000 0:00	 	99.77
2/28/2000 0:00	 	99.77
2/29/2000 0:00	-828.5	83.21
3/1/2000 0:00	98.8	1.02
3/2/2000 0:00	301	2.36
3/3/2000 0:00	223	1.94
3/4/2000 0:00	186	1.74
3/5/2000 0:00	196	1.81
3/6/2000 0:00	195	1.8
3/7/2000 0:00	194	1.79
3/8/2000 0:00	172	1.66
3/9/2000 0:00	196	1.8
3/10/2000 0:00	200	1.83
3/11/2000 0:00	198	1.82
3/12/2000 0:00	198	1.81
3/13/2000 0:00	200	1.83
3/14/2000 0:00	199	1.82
3/15/2000 0:00	181	1.71
3/16/2000 0:00	149	1.52
3/17/2000 0:00	149	1.52
3/18/2000 0:00	149	1.52
3/19/2000 0:00	149	1.52
3/20/2000 0:00	148	1.51
3/21/2000 0:00	150	1.52
3/22/2000 0:00	150	1.53
3/23/2000 0:00	131	1.39
3/24/2000 0:00	96.8	1.16
3/25/2000 0:00	98.5	1.17
3/26/2000 0:00	99.6	1.18
3/27/2000 0:00	99.6	1.18
3/28/2000 0:00	119	1.31
3/29/2000 0:00	199	1.82
3/30/2000 0:00	199	1.82
3/31/2000 0:00	202	1.84
4/1/2000 0:00	 	 
4/2/2000 0:00	 	 
4/3/2000 0:00	 	 
4/4/2000 0:00	196	1.81
4/5/2000 0:00	195	1.8
4/6/2000 0:00	195	1.8
4/7/2000 0:00	195	1.8
4/8/2000 0:00	195	1.8
4/9/2000 0:00	196	1.8
4/10/2000 0:00	226	1.96
4/11/2000 0:00	274	2.23
4/12/2000 0:00	274	2.23
4/13/2000 0:00	292	2.31
4/14/2000 0:00	327	2.48
4/15/2000 0:00	327	2.48
4/16/2000 0:00	329	2.49
4/17/2000 0:00	327	2.49
4/18/2000 0:00	326	2.48
4/19/2000 0:00	326	2.48
4/20/2000 0:00	327	2.48
4/21/2000 0:00	328	2.49
4/22/2000 0:00	326	2.48
4/23/2000 0:00	328	2.49
4/24/2000 0:00	327	2.49
4/25/2000 0:00	326	2.48
4/26/2000 0:00	323	2.47
4/27/2000 0:00	324	2.47
4/28/2000 0:00	325	2.47
4/29/2000 0:00	324	2.47
4/30/2000 0:00	198	1.56
5/1/2000 0:00	332	2.51
5/2/2000 0:00	 	 
5/3/2000 0:00	 	 
5/4/2000 0:00	 	 
5/5/2000 0:00	327	2.48
5/6/2000 0:00	326	2.48
5/7/2000 0:00	326	2.48
5/8/2000 0:00	326	2.48
5/9/2000 0:00	329	2.5
5/10/2000 0:00	326	2.48
5/11/2000 0:00	326	2.48
5/12/2000 0:00	286	2.27
5/13/2000 0:00	197	1.81
5/14/2000 0:00	197	1.81
5/15/2000 0:00	198	1.81
5/16/2000 0:00	197	1.81
5/17/2000 0:00	196	1.81
5/18/2000 0:00	195	1.8
5/19/2000 0:00	196	1.8
5/20/2000 0:00	197	1.81
5/21/2000 0:00	197	1.81
5/22/2000 0:00	198	1.81
5/23/2000 0:00	198	1.82
5/24/2000 0:00	197	1.81
5/25/2000 0:00	199	1.82
5/26/2000 0:00	199	1.82
5/27/2000 0:00	198	1.82
5/28/2000 0:00	197	1.81
5/29/2000 0:00	199	1.82
5/30/2000 0:00	198	1.82
5/31/2000 0:00	198	1.82
6/1/2000 0:00	199	1.82
6/2/2000 0:00	200	1.83
6/3/2000 0:00	200	1.83
6/4/2000 0:00	200	1.83
6/5/2000 0:00	204	1.85
6/6/2000 0:00	203	1.84
6/7/2000 0:00	206	1.86
6/8/2000 0:00	226	1.97
6/9/2000 0:00	252	2.11
6/10/2000 0:00	248	2.09
6/11/2000 0:00	248	2.09
6/12/2000 0:00	248	2.09
6/13/2000 0:00	244	2.07
6/14/2000 0:00	244	2.07
6/15/2000 0:00	246	2.08
6/16/2000 0:00	246	2.08
6/17/2000 0:00	248	2.09
6/18/2000 0:00	248	2.09
6/19/2000 0:00	263	2.17
6/20/2000 0:00	288	2.3
6/21/2000 0:00	290	2.31
6/22/2000 0:00	302	2.36
6/23/2000 0:00	303	2.37
6/24/2000 0:00	302	2.37
6/25/2000 0:00	299	2.35
6/26/2000 0:00	292	2.31
6/27/2000 0:00	302	2.36
6/28/2000 0:00	300	2.36
6/29/2000 0:00	298	2.34
6/30/2000 0:00	298	2.34
7/1/2000 0:00	299	2.35
7/2/2000 0:00	299	2.35
7/3/2000 0:00	297	2.34
7/4/2000 0:00	298	2.35
7/5/2000 0:00	299	2.35
7/6/2000 0:00	296	2.34
7/7/2000 0:00	297	2.34
7/8/2000 0:00	299	2.35
7/9/2000 0:00	298	2.34
7/10/2000 0:00	297	2.34
7/11/2000 0:00	295	2.33
7/12/2000 0:00	276	2.23
7/13/2000 0:00	248	2.09
7/14/2000 0:00	245	2.07
